,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,28,CL,41,-53.16,-70.91,13.94,4.6
1,Coihueco,0,CL,34,-36.63,-71.83,27.0,4.6
2,Rikitea,98,PF,72,-23.12,-134.97,26.51,2.47
3,Saint-Augustin,90,CA,74,45.63,-73.98,1.84,6.2
4,Mataura,67,NZ,73,-46.19,168.86,12.78,6.71
5,Zambezi,100,ZM,85,-13.55,23.12,19.98,2.41
6,Codrington,63,AU,48,-28.95,153.24,30.24,1.5
7,Cayenne,65,GF,88,4.94,-52.33,24.0,1.86
8,Kodiak,1,US,75,39.95,-94.76,5.83,2.6
9,Langen,75,DE,86,53.61,8.6,4.99,7.2
10,Severo-Kurilsk,32,RU,82,50.68,156.12,-7.25,1.62
11,New Norfolk,75,AU,59,-42.78,147.06,19.24,4.6
12,Lasa,75,CY,87,34.92,32.53,10.13,3.6
13,Maniitsoq,98,GL,80,65.42,-52.9,-5.96,6.9
14,Reisterstown,1,US,57,39.47,-76.83,7.44,2.6
15,Dongkan,100,CN,82,34.0,119.83,5.78,1.73
16,Hobart,75,AU,59,-42.88,147.33,19.24,4.6
17,Provideniya,0,RU,71,64.42,-173.23,-23.46,5.74
18,Cherskiy,62,RU,71,68.75,161.3,-18.21,6.01
19,Butaritari,100,KI,83,3.07,172.79,27.66,6.81
20,Ushuaia,40,AR,61,-54.81,-68.31,11.0,12.9
21,Aksarka,17,RU,91,66.56,67.8,-19.65,4.43
22,Tarko-Sale,100,RU,82,64.92,77.78,-22.22,3.98
23,Bambous Virieux,75,MU,94,-20.34,57.76,25.0,1.5
24,Xingyi,91,CN,96,24.19,102.82,9.64,1.7
25,Klaksvik,72,FO,74,62.23,-6.59,1.0,9.3
26,Lubumbashi,100,CD,98,-11.66,27.48,17.83,0.72
27,Talnakh,75,RU,84,69.49,88.39,-17.0,11.0
28,Redwater,90,CA,58,53.95,-113.11,-2.5,10.3
29,Isangel,40,VU,74,-19.55,169.27,27.0,4.1
30,Tavricheskoye,75,RU,91,54.59,73.64,1.0,5.0
31,Launceston,40,AU,42,-41.43,147.14,21.08,3.1
32,Svetlaya,95,RU,62,46.54,138.33,-12.08,4.73
33,Yulara,14,AU,33,-25.24,130.99,32.0,4.1
34,Busselton,0,AU,90,-33.64,115.35,14.19,0.45
35,Hithadhoo,0,MV,75,-0.6,73.08,28.22,5.42
36,Pierre,90,US,98,44.37,-100.35,2.15,3.1
37,Ponta do Sol,100,BR,90,-20.63,-46.0,20.51,0.89
38,Samarai,61,PG,66,-10.62,150.67,29.91,1.82
39,Hermanus,13,ZA,95,-34.42,19.24,15.43,3.43
40,Bubaque,92,GW,62,11.28,-15.83,26.1,6.61
