,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Avarua,56,CK,78,-21.21,-159.78,27.0,8.2
1,Tiksi,94,RU,86,71.69,128.87,-25.31,4.11
2,Mataura,98,NZ,53,-46.19,168.86,17.22,6.26
3,Vardo,100,NO,86,70.37,31.11,-2.29,9.3
4,Dubbo,100,AU,64,-32.25,148.62,21.0,7.7
5,Castro,100,BR,96,-24.79,-50.01,21.11,2.17
6,Hermanus,0,ZA,84,-34.42,19.23,20.25,1.79
7,Saint-Philippe,20,RE,73,-21.36,55.77,20.67,3.1
8,Khovd,96,MN,98,48.01,91.64,-20.82,0.33
9,Kapaa,75,US,73,22.08,-159.32,23.95,3.1
10,Albany,90,US,65,42.6,-73.97,3.68,5.1
11,Itarema,100,BR,91,-2.92,-39.92,24.59,1.88
12,Dikson,100,RU,95,73.51,80.55,-14.57,9.08
13,Broome,90,US,74,42.25,-75.83,4.22,3.1
14,Emerald,78,AU,83,-23.53,148.17,23.17,0.5
15,Tupi Paulista,100,BR,79,-21.38,-51.57,27.86,2.66
16,Sur,7,OM,77,22.57,59.53,19.26,5.92
17,Padang,100,ID,99,-0.95,100.35,18.97,0.23
18,Turaif,75,SA,100,31.67,38.66,4.0,4.1
19,Tabou,22,CI,90,4.42,-7.35,25.44,1.69
20,Severo-Kuril'sk,92,RU,89,50.68,156.12,-5.55,10.02
21,Severo-Yeniseyskiy,34,RU,93,60.37,93.04,-19.01,4.16
22,Hilo,90,US,78,19.73,-155.09,21.7,2.6
23,Bengkulu,100,ID,90,-3.8,102.27,21.86,1.84
24,Khani,90,GE,93,41.96,42.96,4.0,1.0
25,Jamestown,90,US,100,42.1,-79.24,7.04,4.6
26,Bluff,100,NZ,53,-46.6,168.33,17.22,6.26
27,Marovoay,40,MG,94,-16.1,46.63,25.0,4.1
28,Bubaque,0,GW,58,11.28,-15.83,26.48,6.42
29,Lorengau,100,PG,77,-2.02,147.27,28.95,5.1
30,Shingu,85,JP,68,33.73,135.98,8.39,2.18
